AngelList, angel.co, Jobs
LinkedIn, linkedin.com, Jobs
blank
Datacamp, app.datacamp.com/learn, Learn
Khan Academy, khanacademy.org/economics-finance-domain, Learn
Varsity, zerodha.com/varsity/, Learn
blank
LeetCode, leetcode.com, Practice
Kaggle, kaggle.com, Practice
blank

GlassDoor, glassdoor.co.in, Jobs
blank
Feedly, feedly.com, Readings
Reading List, library.lindylearn.io/, Readings
Indian Express, IndianExpress.com, Readings
blank
Financial Times,        www.ft.com,                       Finance 
The Wall Street Journal,         www.wsj.com,                    Finance 
Financial Express, www.FinancialExpress.com, Finance
Money Control, www.moneycontrol.com, Finance
Livemint, livemint.com, Finance
blank
TechCrunch, 	techcrunch.com, Startups 
Inc42, inc42.com, Startups
